Date,Day,Temperature,Rainfall,Flyers,Price,Sales
01/01/2017,Sunday,27,2.00,15,0.3,10
02/01/2017,Monday,28.9,1.33,15,0.3,13
03/01/2017,Tuesday,34.5,1.33,27,0.3,15
04/01/2017,Wednesday,44.1,1.05,28,0.3,17
05/01/2017,Thursday,42.4,1.00,33,0.3,18
06/01/2017,Friday,25.3,1.54,23,0.3,11
07/01/2017,Saturday,32.9,1.54,19,0.3,13
08/01/2017,Sunday,37.5,1.18,28,0.3,15
09/01/2017,Monday,38.1,1.18,20,0.3,17
10/01/2017,Tuesday,43.4,1.05,33,0.3,18
11/01/2017,Wednesday,32.6,1.54,23,0.3,12
12/01/2017,Thursday,38.2,1.33,16,0.3,14
13/01/2017,Friday,37.5,1.33,19,0.3,15
14/01/2017,Saturday,44.1,1.05,23,0.3,17
15/01/2017,Sunday,43.4,1.11,33,0.3,18
16/01/2017,Monday,30.6,1.67,24,0.3,12
17/01/2017,Tuesday,32.2,1.43,26,0.3,14
18/01/2017,Wednesday,42.8,1.18,33,0.3,16
19/01/2017,Thursday,43.1,1.18,30,0.3,17
20/01/2017,Friday,31.6,1.43,20,0.3,12
21/01/2017,Saturday,36.2,1.25,16,0.3,14
22/01/2017,Sunday,40.8,1.11,19,0.3,16
23/01/2017,Monday,38.1,1.05,21,0.3,17
24/01/2017,Tuesday,28.6,1.54,20,0.3,12
25/01/2017,Wednesday,32.2,1.25,24,0.3,14
26/01/2017,Thursday,35.8,1.25,18,0.3,16
27/01/2017,Friday,42.1,1.05,22,0.3,17
28/01/2017,Saturday,34.9,1.33,15,0.3,13
29/01/2017,Sunday,35.2,1.33,27,0.3,14
30/01/2017,Monday,41.1,1.05,20,0.3,17
31/01/2017,Tuesday,40.4,1.05,37,0.3,18
01/02/2017,Wednesday,42.4,1.00,35,0.3,18
02/02/2017,Thursday,52,1.00,22,0.3,20
03/02/2017,Friday,50.3,0.87,25,0.3,21
04/02/2017,Saturday,56.6,0.83,46,0.3,22
05/02/2017,Sunday,45.4,1.11,32,0.3,18
06/02/2017,Monday,45,0.95,28,0.3,20
07/02/2017,Tuesday,52.3,0.87,39,0.3,21
08/02/2017,Wednesday,52.6,0.87,31,0.3,22
09/02/2017,Thursday,42.7,1.00,39,0.3,19
10/02/2017,Friday,50,0.91,40,0.3,20
11/02/2017,Saturday,51.3,0.91,35,0.3,21
12/02/2017,Sunday,55.6,0.83,41,0.3,22
13/02/2017,Monday,46.4,1.11,34,0.3,18
14/02/2017,Tuesday,47.7,0.95,35,0.3,19
15/02/2017,Wednesday,52,0.91,33,0.3,20
16/02/2017,Thursday,47.3,0.87,31,0.3,21
17/02/2017,Friday,40.4,1.00,29,0.3,18
18/02/2017,Saturday,43.7,0.95,25,0.3,19
19/02/2017,Sunday,50,0.95,28,0.3,20
20/02/2017,Monday,50.3,0.95,25,0.3,21
21/02/2017,Tuesday,42.4,1.00,28,0.3,18
22/02/2017,Wednesday,47.7,0.95,36,0.3,19
23/02/2017,Thursday,45,1.00,23,0.3,20
24/02/2017,Friday,47.3,0.87,36,0.3,21
25/02/2017,Saturday,42.4,1.00,21,0.3,18
26/02/2017,Sunday,48.7,1.05,32,0.3,19
27/02/2017,Monday,45,1.00,34,0.3,20
28/02/2017,Tuesday,49.6,0.91,45,0.3,22
01/03/2017,Wednesday,57.9,0.87,46,0.3,23
02/03/2017,Thursday,57.2,0.80,31,0.3,24
03/03/2017,Friday,60.2,0.77,28,0.3,24
04/03/2017,Saturday,59.5,0.77,29,0.3,25
05/03/2017,Sunday,55.9,0.87,32,0.3,23
06/03/2017,Monday,61.2,0.77,28,0.3,24
07/03/2017,Tuesday,60.2,0.77,32,0.3,24
08/03/2017,Wednesday,58.5,0.77,43,0.3,25
09/03/2017,Thursday,52.9,0.80,29,0.3,23
10/03/2017,Friday,59.2,0.83,31,0.3,24
11/03/2017,Saturday,58.2,0.83,30,0.3,24
12/03/2017,Sunday,61.5,0.74,47,0.3,25
13/03/2017,Monday,55.9,0.87,48,0.3,23
14/03/2017,Tuesday,58.9,0.87,35,0.3,23
15/03/2017,Wednesday,56.2,0.83,30,0.3,24
16/03/2017,Thursday,60.2,0.83,39,0.3,24
17/03/2017,Friday,56.5,0.77,50,0.3,25
18/03/2017,Saturday,53.9,0.83,32,0.3,23
19/03/2017,Sunday,56.9,0.83,38,0.3,23
20/03/2017,Monday,58.2,0.77,33,0.3,24
21/03/2017,Tuesday,57.2,0.83,36,0.3,24
22/03/2017,Wednesday,56.5,0.74,38,0.3,25
23/03/2017,Thursday,55.9,0.87,35,0.3,23
